condition,steady_dx_mm,steady_dy_mm,steady_dz_mm,force_peak_dx_mm,force_max_yz_norm_mm,recovery_dx_mm,recovery_dy_mm,recovery_dz_mm
A signal,41.99801705926887,7.692946804290584,4.006427404309898,44.08194222344958,9.003176358553771,0.8841683646217402,0.44488659860381086,0.31799307370306007
B physical,142.93169008807521,-51.5569286960848,52.2616737729239,165.88481677409317,93.89799127408568,-24.836140818681297,-39.28236800156776,-10.79869530239752
