seed,twist2_success,mcc_success,twist2_f95_n,mcc_f95_n,relative_f95_reduction,twist2_impulse_ns,mcc_impulse_ns,relative_impulse_reduction,relative_tail_mean_reduction,root_xy_delta_m,foot_xy_delta_m,mcc_alpha_max,twist2_contact_steps,mcc_contact_steps,contact_duration_ratio,pelvis_tilt_delta_deg
10,True,True,38.44359985409702,38.32572478172083,0.0030661819606789876,25.947496599220713,17.09505600625349,0.3411674247307962,0.3411674247307962,0.0,0.0,0.24999999999999467,126,82,0.6507936507936508,0.0
11,True,True,38.6974538663705,38.158276318131435,0.013933153072575455,26.807010490128047,22.06340545225933,0.17695389941431908,0.17695389941431927,0.0,0.0,0.20000000000000462,127,93,0.7322834645669292,0.0
12,True,True,38.71039101846977,38.29922872778288,0.010621496705902872,26.922770029621343,19.383008784428352,0.2800514671000603,0.2800514671000602,0.0,0.0,0.25000000000001243,129,87,0.6744186046511628,0.0
13,True,True,38.54464525673078,38.31839864692702,0.005869728682072936,25.746308704587445,18.657253549011497,0.2753425835491839,0.2753425835491839,0.0,0.0,0.25000000000000355,126,85,0.6746031746031746,0.0
14,True,True,38.534353607522576,38.18530507478501,0.009058113087679301,26.097917391048032,19.07325277815131,0.26916571570213815,0.2691657157021381,0.0,0.0,0.20000000000000462,127,89,0.7007874015748031,0.0
15,True,True,38.679668546790765,38.43217908498164,0.006398438019440014,26.00440872020165,18.1267245076753,0.302936486550703,0.30293648655070327,0.0,0.0,0.24999999999999467,127,85,0.6692913385826772,0.0
16,True,True,38.616933799977076,38.216477379837585,0.010369969356286103,26.135445875808372,20.33121070207877,0.22208288319665317,0.2220828831966532,0.0,0.0,0.25000000000000355,126,90,0.7142857142857143,0.0
17,True,True,38.511904587845656,38.37082068749211,0.0036633841370200355,25.79552607627917,18.390954856749786,0.2870486609822785,0.28704866098227866,0.0,0.0,0.20000000000000462,123,85,0.6910569105691057,0.0
18,True,True,38.70898935221591,38.1426445898394,0.014630833092109361,26.824923349468822,19.65265075473424,0.26737346091527997,0.26737346091528025,0.0,0.0,0.25000000000000355,129,90,0.6976744186046512,0.0
19,True,True,38.79034413262009,38.22164517831017,0.014660838077785577,26.564790829252843,19.72235331967926,0.2575754333453576,0.2575754333453575,0.0,0.0,0.20000000000002238,123,89,0.7235772357723578,0.0
